feature,importance
log_price,0.30031742880138873
log_volume,0.13201315210672585
beta,0.1251272748136081
r_squared,0.10918561248492813
log_wiki,0.06182385913422962
google_trends_pre,0.0587786505218326
avg_sentiment_score,0.05869997995973529
mention_count_90d_avg,0.053726103938550755
velocity_ratio,0.03218154435359575
log_mentions,0.01679633020780785
net_sentiment,0.013082017386746043
pct_positive,0.011445659217992366
pct_negative,0.011173581413103442
is_10q,0.008286897628595817
is_8k,0.0073619080311597114
